Arrival time	CPU Burst length	Priority
10	22	1
68	12	6
98	34	8
148	28	10
192	3	3
223	8	3
266	18	2
268	14	10
268	30	4
296	10	7
354	6	3
375	2	8
377	31	2
406	10	4
457	21	9
469	1	10
529	9	6
559	12	5
581	39	1
630	17	8
685	38	6
696	30	5
744	21	4
745	34	3
782	29	1
804	4	10
817	15	9
864	24	5
912	27	3
953	21	6
993	24	9
1038	25	5
1086	17	1
1107	20	2
1122	7	6
1150	17	7
1160	20	5
1211	2	2
1269	23	7
1272	39	2
1315	28	1
1331	1	8
1337	29	5
1342	1	2
1365	22	9
1401	30	5
1413	5	7
1431	10	5
1440	37	6
1488	2	3
1523	20	4
1556	3	4
1576	12	4
1587	13	1
1596	5	3
1638	24	3
1689	13	7
1737	28	4
1761	32	2
1818	8	1
1827	25	8
1882	2	10
1899	29	10
1939	13	6
1940	18	8
1973	7	6
2022	36	2
2076	1	6
2093	33	6
2104	34	4
2147	20	5
2189	29	1
2248	26	9
2265	8	7
2300	36	9
2306	40	10
2357	18	4
2374	21	3
2433	30	6
2492	32	3
2502	4	2
2524	12	6
2561	11	8
2574	24	6
2605	32	6
2607	23	4
2658	32	4
2712	37	1
2745	38	7
2786	33	7
2826	1	8
2832	29	6
2854	39	1
2882	27	3
2899	25	7
2944	12	5
2976	33	6
2980	4	5
3007	23	6
3022	30	6
3060	34	5
3095	38	7
3103	40	2
3106	10	6
3164	35	1
3172	21	9
3185	31	7
3198	39	5
3255	21	7
3265	17	9
3312	18	10
3328	16	10
3360	33	10
3367	13	10
3395	38	7
3443	4	7
3467	3	2
3513	40	1
3565	10	5
3580	8	2
3629	15	10
3646	19	6
3702	37	10
3722	4	9
3766	27	7
3816	17	4
3858	8	2
3861	30	1
3893	32	10
3901	33	6
3924	39	5
3933	9	7
3950	29	6
3983	20	10
4034	19	6
4065	40	4
4081	26	7
4103	11	1
4133	21	1
4143	17	6
4200	24	8
4222	21	8
4233	31	3
4293	19	4
4321	33	4
4375	39	8
4412	7	1
4429	11	6
4482	14	3
4522	20	7
4575	32	6
4605	31	9
4623	30	8
4676	11	2
4719	38	3
4723	31	9
4761	25	3
4763	18	5
4821	34	1
4838	12	6
4888	3	9
4905	38	7
4939	38	6
4999	32	1
5041	28	4
5075	1	8
5135	40	1
5164	19	4
5190	35	3
5214	6	4
5219	27	5
5264	21	9
5274	35	10
5295	1	10
5329	30	4
5378	18	4
5412	9	7
5460	12	4
5473	4	2
5528	8	4
5582	14	5
5594	7	1
5652	15	1
5685	38	9
5685	23	8
5715	12	1
5760	7	6
5774	29	10
5813	38	7
5858	6	7
5917	38	1
5948	29	10
5970	3	6
5989	1	9
6024	22	8
6080	18	8
6098	22	5
6143	3	3
6195	23	4
6203	34	3
6203	22	10
6220	31	10
6246	33	6
6267	5	2
6283	15	4
6305	32	9
6311	31	2
6368	16	8
6369	23	8
6400	1	4
6446	40	7
6485	38	9
6508	31	6
6515	39	5
6533	35	7
6534	20	6
6551	30	7
6554	15	8
6570	10	1
6586	11	3
6627	23	9
6660	4	2
6699	7	4
6735	6	9
6792	31	2
6831	9	6
6852	29	8
6881	28	3
6934	39	10
6959	18	1
6981	25	10
7006	11	8
7024	28	2
7027	24	5
7072	35	9
7083	3	3
7100	2	9
7137	2	5
7158	26	10
7217	9	10
7224	2	4
7253	1	4
7286	25	3
7313	31	6
7364	14	5
7412	9	2
7433	8	7
7446	7	3
7446	16	1
7505	18	6
7507	18	4
7513	29	9
7573	14	10
7616	4	9
7665	31	1
7710	17	3
7712	25	10
7770	23	4
7777	24	3
7834	24	5
7837	11	3
7844	37	5
7874	23	3
7887	14	9
7893	5	2
7913	30	2
7946	35	1
7948	15	2
7953	19	7
7998	7	4
8056	9	9
8087	15	5
8094	27	4
8096	29	5
8124	31	8
8178	36	10
8217	21	7
8262	32	3
8274	39	7
8276	8	9
8276	23	2
8303	13	10
8361	21	10
8406	39	8
8423	20	7
8455	38	7
8492	6	10
8511	12	10
8533	20	8
8562	12	10
8562	32	6
8600	22	9
8650	10	6
8665	34	8
8708	33	6
8766	19	6
8797	7	8
8835	39	3
8866	29	9
8875	36	5
8934	14	2
8987	37	2
8988	13	5
9022	3	7
9036	28	10
9070	21	10
9120	4	10
9137	39	7
9178	12	8
9208	15	5
9268	11	2
9280	10	3
9288	23	1
9307	19	10
9309	28	9
9330	3	10
9388	36	6
9420	3	8
9444	1	9
9477	39	10
9496	4	6
9546	3	7
9591	10	7
9620	32	5
9679	23	10
9724	28	10
9748	24	3
9772	18	10
9792	38	8
9834	1	4
9882	24	8
9897	8	4
9925	19	2
9954	19	9
9960	40	6
9994	29	1
10007	7	8
10049	33	2
10089	10	2
10098	29	1
10104	10	8
10120	10	9
10126	13	10
10184	9	9
10226	29	2
10257	23	7
10294	29	5
10298	26	7
10318	23	8
10348	40	3
10391	23	3
10413	38	1
10446	13	6
10461	34	6
10516	13	2
10562	19	4
10579	20	2
10595	1	5
10599	25	4
10599	40	2
10638	5	9
10672	4	1
10701	30	3
10744	8	1
10744	17	7
10770	30	1
10810	14	6
10819	12	2
10823	24	8
10842	7	3
10855	15	9
10906	15	4
10956	7	10
11016	28	7
11022	20	9
11070	3	1
11121	15	1
11178	16	9
11220	30	9
11248	16	5
11303	13	9
11304	39	4
11329	37	3
11358	16	8
11370	11	5
11412	17	4
11431	1	5
11452	36	1
11456	22	4
11462	17	9
11465	32	8
11484	36	8
11488	29	8
11529	34	7
11585	39	3
11612	16	4
11654	13	7
11666	5	7
11696	34	10
11742	13	1
11742	37	2
11784	9	8
11834	22	5
11838	39	8
11887	25	6
11891	2	7
11915	23	8
11915	24	8
11949	36	9
11995	30	8
12015	31	9
12028	36	10
12071	28	2
12072	39	8
12098	10	4
12142	20	1
12157	21	1
12162	23	8
12213	33	10
12261	31	10
12265	34	9
12294	37	9
12352	18	8
12395	15	8
12451	29	4
12498	38	6
12507	26	10
12553	24	4
12590	14	9
12609	19	6
12665	22	10
12707	35	7
12730	35	3
12774	31	5
12806	11	10
12847	34	5
12885	2	7
12933	23	8
12992	19	4
13033	34	8
13047	23	10
13071	27	8
13130	3	7
13174	30	6
13187	35	4
13194	15	5
13197	32	3
13216	38	9
13233	30	3
13260	9	6
13265	28	2
13291	7	7
13346	39	3
13363	24	7
13385	15	2
13392	37	8
13447	12	1
13458	34	5
13500	35	5
13527	17	6
13571	9	6
13601	4	5
13637	20	6
13691	14	5
13719	7	4
13777	23	7
13836	5	9
13890	24	6
13939	18	1
13952	20	1
13964	4	5
14023	35	8
14057	28	4
14068	32	5
14110	17	8
14110	36	2
14138	39	10
14150	5	3
14155	12	9
14214	22	8
14240	34	6
14251	22	10
14282	6	1
14332	11	5
14333	5	2
14337	24	1
14385	17	3
14406	1	1
14410	34	9
14456	17	9
14457	32	9
14493	39	1
14549	14	10
14559	22	6
14572	24	3
14619	27	9
14630	30	4
14689	33	1
14690	13	6
14731	9	2
14757	17	10
14793	27	7
14840	2	9
14879	30	2
14898	29	8
14915	39	5
14970	35	8
